"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","Переход на страницу ленты заказов по клику на кнопку","tests","2026-07-05","passed","2026-07-05","TestOrderFeed","test_order_feed","",""
"","91","Клик на ингредиент — открывается модальное окно с деталями","tests","2026-07-05","passed","2026-07-05","TestConstructor","test_constructor","",""
"","6786","Номер созданного заказа появляется в разделе «В работе»","tests","2026-07-05","passed","2026-07-05","TestOrderFeed","test_order_feed","",""
"","15310","Модальное окно закрывается по клику на крестик","tests","2026-07-05","passed","2026-07-05","TestConstructor","test_constructor","",""
"","64","Переход на страницу конструктора по клику на кнопку «Конструктор»","tests","2026-07-05","passed","2026-07-05","TestConstructor","test_constructor","",""
"","94","Переход на страницу конструктора по клику на кнопку «Конструктор»","tests","2026-07-05","passed","2026-07-05","TestConstructor","test_constructor","",""
"","15257","Модальное окно закрывается по клику на крестик","tests","2026-07-05","passed","2026-07-05","TestConstructor","test_constructor","",""
"","7320","Счётчик «Выполнено за всё время» увеличивается после создания заказа","tests","2026-07-05","passed","2026-07-05","TestOrderFeed","test_order_feed","",""
"","7413","Счётчик «Выполнено за сегодня» увеличивается после создания заказа","tests","2026-07-05","passed","2026-07-05","TestOrderFeed","test_order_feed","",""
"","7324","Счётчик «Выполнено за сегодня» увеличивается после создания заказа","tests","2026-07-05","passed","2026-07-05","TestOrderFeed","test_order_feed","",""
"","63","При добавлении ингредиента в заказ счётчик увеличивается","tests","2026-07-05","passed","2026-07-05","TestConstructor","test_constructor","",""
"","7404","Счётчик «Выполнено за всё время» увеличивается после создания заказа","tests","2026-07-05","passed","2026-07-05","TestOrderFeed","test_order_feed","",""
"","38","Переход на страницу ленты заказов по клику на кнопку","tests","2026-07-05","passed","2026-07-05","TestOrderFeed","test_order_feed","",""
"","46","При добавлении ингредиента в заказ счётчик увеличивается","tests","2026-07-05","passed","2026-07-05","TestConstructor","test_constructor","",""
"","98","Клик на ингредиент — открывается модальное окно с деталями","tests","2026-07-05","passed","2026-07-05","TestConstructor","test_constructor","",""
"","6371","Номер созданного заказа появляется в разделе «В работе»","tests","2026-07-05","passed","2026-07-05","TestOrderFeed","test_order_feed","",""
